0,0.0
1,0.2
2,0.28
3,0.34
4,0.42
5,0.53
6,0.57
7,0.65
8,0.68
9,0.7
10,0.66
11,0.71
12,0.74
13,0.78
14,0.83
15,0.84
16,0.88
17,0.89
18,0.91
19,0.92
20,0.93
21,0.89
22,0.91
23,0.91
24,0.91
25,0.92
26,0.94
27,0.95
28,0.95
29,0.95
30,0.95
31,0.96
32,0.97
33,0.99
34,0.98
35,0.99
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0
103,1.0
104,1.0
105,1.0
106,0.81
